Route Name,Ascent Label,Ascent ID,Ascent Link,Ascent Type,Route Grade,Ascent Grade,Route Gear Style,Ascent Gear Style,Route Height,Ascent Height,# Ascents,Route Stars,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot
RIP,,12763038669,http://www.thecrag.com/ascent/12763038669,Onsight,6a,,Sport,Sport,15m,,1,**,258396243,http://www.thecrag.com/route/258396243,Spain,http://www.thecrag.com/area/11747395,Banyadores,http://www.thecrag.com/area/157649697,Banyadores - Amazonia,"Genís,  Xavier Piqueras","Great route, super fun! Interesting movements, and great to climbing. Recommended!",Classic,2025-11-29T00:00:00Z,2025-11-29T13:14:07Z,
Guifre-Gala,,12762787983,http://www.thecrag.com/ascent/12762787983,Onsight,5b,,Sport,Sport,14m,,1,*,258393417,http://www.thecrag.com/route/258393417,Spain,http://www.thecrag.com/area/11747395,Banyadores,http://www.thecrag.com/area/157649697,Banyadores - Amazonia,"Genís,  Xavier Piqueras","Easy route, with the most complex part between 1st and 2nd bolts, but all good.",Very Good,2025-11-29T00:00:00Z,2025-11-29T11:24:15Z,
Ignasi Jorba,,12709430826,http://www.thecrag.com/ascent/12709430826,Flash,5c,,Sport,Second,150m,,1,**,334308285,http://www.thecrag.com/route/334308285,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Sud-Est - Gorros - La Magdalena superior,"Andreu Farré,  Marc Klingenberg","My first multi-pitch route! Great experience and excited to start knowing how all this world works.
1:
2:
3:
4:
5:",Classic,2025-11-16T00:00:00Z,2025-11-19T08:12:11Z,
Unknown 1,,12587362299,http://www.thecrag.com/ascent/12587362299,Onsight,6a,,Sport,Sport,25m,,1,**,453070809,http://www.thecrag.com/route/453070809,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Petit Gailland,Elena Ruiz,"Not sure if this route is the one that I did, because I was looking for a 6a+ that wasn't in TheCrag. Anyway, nice long enough route with some nice movements.",Very Good,2025-10-30T00:00:00Z,2025-10-30T15:29:53Z,
Le surplomb Martinetti,,12587356836,http://www.thecrag.com/ascent/12587356836,Hang dog,6c,,Sport,Sport,30m,,1,**,18104491,http://www.thecrag.com/route/18104491,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Petit Gailland,Elena Ruiz,"Tried this route knowing that it was a 6b, not a 6c. And also, the crag from the crux was pretty wet. However, very enjoyable route!",Very Good,2025-10-30T00:00:00Z,2025-10-30T15:28:37Z,
Le toit direct,,12586831113,http://www.thecrag.com/ascent/12586831113,Onsight,6a+,,Sport,Sport,21m,,1,**,453077928,http://www.thecrag.com/route/453077928,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Echelles,Elena Ruiz,Great route with a doable overhanging part. A different and special route in the sector. Recommended.,Classic,2025-10-30T00:00:00Z,2025-10-30T12:38:54Z,
La double fissure de l'ingratitude,,12586522698,http://www.thecrag.com/ascent/12586522698,Onsight,6a,,Sport,Sport,20m,,1,**,7613570517,http://www.thecrag.com/route/7613570517,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Echelles,Elena Ruiz,"Nice and fun start, where the most difficult part is. Very technical with small footholds, but you can trust them.",Classic,2025-10-30T00:00:00Z,2025-10-30T11:07:17Z,
La compagnie des Indes,,12575527029,http://www.thecrag.com/ascent/12575527029,Onsight,6b,,Sport,Sport,20m,,1,**,7613570610,http://www.thecrag.com/route/7613570610,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Echelles,Elena Ruiz,"Fun route where the crux is in the first part, where feet trust is crutial. Since all the rest is pretty trivial, I would say is a 6a+.",Classic,2025-10-28T00:00:00Z,2025-10-28T14:24:42Z,
Le Zig sans Zag,,12575345013,http://www.thecrag.com/ascent/12575345013,Onsight,6a+,,Sport,Sport,30m,,1,**,18104539,http://www.thecrag.com/route/18104539,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Petit Gailland,Elena Ruiz,"Great route with some nice crags to use, and an interesting movement post first anchor. Good sensations.",Classic,2025-10-28T00:00:00Z,2025-10-28T13:19:07Z,
Unknown 2,,12575134758,http://www.thecrag.com/ascent/12575134758,Onsight,5c,,Sport,Sport,25m,,1,**,453070914,http://www.thecrag.com/route/453070914,France,http://www.thecrag.com/area/11747155,Les Gaillands,http://www.thecrag.com/area/14015251,Les Gaillands - Petit Gailland,Elena Ruiz,"Great route, long enough. I climbed it the day after it rained and there were some more difficult parts, but nothing crazy.",Very Good,2025-10-28T00:00:00Z,2025-10-28T12:11:57Z,
Los mariachis,,12303065523,http://www.thecrag.com/ascent/12303065523,Attempt,6B,,Boulder,Boulder,5m,,1,**,12302660064,http://www.thecrag.com/route/12302660064,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Biceps power,,"Interesting and nice sit start with a high heel hook. Couldn't handle it. After that, it looks much easier and similar to the ""Te lo dije"" boulder.",Very Good,2025-09-14T00:00:00Z,2025-09-15T13:52:02Z,
Brainless,,12302913792,http://www.thecrag.com/ascent/12302913792,Attempt,6B+,,Boulder,Boulder,2m,,1,**,12302673153,http://www.thecrag.com/route/12302673153,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Brainless,,"Very interesting start with a locked hook. Couldn't finish because topping this is hard since no hold was found on the top. Also, had to stop all of a sudden after an injury during the last session try.",Very Good,2025-09-14T00:00:00Z,2025-09-15T13:48:36Z,
Nando,,12302763168,http://www.thecrag.com/ascent/12302763168,Send,6A+,,Boulder,Boulder,5m,,1,*,12302659506,http://www.thecrag.com/route/12302659506,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Biceps power,,"Tiny hand and foot holds, as expected. Could send it because I'm basically tall; it would be much harder if it weren't the case.",Good,2025-09-14T00:00:00Z,2025-09-15T13:45:52Z,
Los visitantes,,12302682183,http://www.thecrag.com/ascent/12302682183,Send,6A+,,Boulder,Boulder,5m,,1,**,12302659785,http://www.thecrag.com/route/12302659785,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Biceps power,,My first big dyno in a Boulder rock. Scary but fun at the same time.,Very Good,2025-09-14T00:00:00Z,2025-09-15T13:44:26Z,
Te lo dije,,12302680983,http://www.thecrag.com/ascent/12302680983,Send,6A+,,Boulder,Boulder,5m,,1,**,12302659692,http://www.thecrag.com/route/12302659692,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Biceps power,,"Sketchy start with not-so-good start foot holds. The rest, though, is a nice diagonal traverse to the top.",Very Good,2025-09-14T00:00:00Z,2025-09-15T13:42:54Z,
Soldador universal,,12302676198,http://www.thecrag.com/ascent/12302676198,Attempt,6A+,,Boulder,Boulder,3m,,1,*,12302669991,http://www.thecrag.com/route/12302669991,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Sector Clàssic - Soldador universal,,"I thought that the hardest part was the sit start, but it was actually the end with 3 sloper holds.",Good,2025-09-14T00:00:00Z,2025-09-15T13:38:52Z,
La meuca enamoradora,,12277492653,http://www.thecrag.com/ascent/12277492653,Hang dog,7b,,Sport,Sport,30m,,4,***,260161287,http://www.thecrag.com/route/260161287,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,"Second attempt of the day with the quick draws set. I knew the theory from the last attempt but I was as fresh as I should, so I ended up super tired. Anyway, happy of today's performance. I feel the send closer.",Classic,2025-09-11T00:00:00Z,2025-09-11T19:41:24Z,
La meuca enamoradora,,12277486191,http://www.thecrag.com/ascent/12277486191,Hang dog,7b,,Sport,Sport,30m,,4,***,260161287,http://www.thecrag.com/route/260161287,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,"New day attempting this route, and very happy of the performance meanwhile setting the quick draws. I fell because I went to the right in the crux movement when it wasn't left, but I wasn't able to remember.",Classic,2025-09-11T00:00:00Z,2025-09-11T19:40:04Z,
Moroño L2,,12276423480,http://www.thecrag.com/ascent/12276423480,Red point,6b+,,Sport,Sport,25m,,2,**,260149884,http://www.thecrag.com/route/260149884,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,Could send it in the second go! Knowing how to handle the tricky part helped a lot and made everything much simpler.,Very Good,2025-09-11T00:00:00Z,2025-09-11T13:47:30Z,
Moroño L2,,12275730585,http://www.thecrag.com/ascent/12275730585,Hang dog,6b+,,Sport,Sport,25m,,2,**,260149884,http://www.thecrag.com/route/260149884,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,"Great second pitch, where everything is from the first to the second bolt. Pretty small holds where you have to go out of the overhanging part.",Very Good,2025-09-11T00:00:00Z,2025-09-11T12:03:24Z,
Moroño L1,,12275722983,http://www.thecrag.com/ascent/12275722983,Onsight,4,,Sport,Sport,12m,,1,*,4608831513,http://www.thecrag.com/route/4608831513,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,"Done the first pitch for going to the second one. No problem at all but for being a 4, since I was expecting something super easy, it has some small holds that shouldn't be in a 4.",Very Good,2025-09-11T00:00:00Z,2025-09-11T12:01:51Z,
Morte esemble,,12275376978,http://www.thecrag.com/ascent/12275376978,Onsight,5,,Sport,Sport,20m,,1,**,260159442,http://www.thecrag.com/route/260159442,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Oest - Vermell del Xincarró - El Vermell del Xincarró - Dreta,Ribeiro di Janiero,Great and super recommended warm-up route in the crag. Very intuitive and long enough route.,Classic,2025-09-11T00:00:00Z,2025-09-11T10:59:36Z,
La cleka,,12240748428,http://www.thecrag.com/ascent/12240748428,Send,6C,,Boulder,Boulder,4m,,1,**,9914816547,http://www.thecrag.com/route/9914816547,Spain,http://www.thecrag.com/area/11747395,La Riba,http://www.thecrag.com/area/14157985,La Riba - Clot d'en Goda - 88. La Lluna,Elena Ruiz,"Two movements, both with the left hand, from the start with a high heel hook that feels super uncomfortable in the first try, but could make it in the 3rd one!",Very Good,2025-09-06T00:00:00Z,2025-09-07T17:37:10Z,
Dos segons,,12240740898,http://www.thecrag.com/ascent/12240740898,Attempt,6B+,,Boulder,Boulder,5m,,1,*,9807355926,http://www.thecrag.com/route/9807355926,Spain,http://www.thecrag.com/area/11747395,La Riba,http://www.thecrag.com/area/14157985,La Riba - Clot d'en Goda - 82. La Travesia,Elena Ruiz,Just couldn't start. The start (where the whole boulder is) is completely unknown to me.,Good,2025-09-06T00:00:00Z,2025-09-07T17:34:48Z,
El cremat,,12240734241,http://www.thecrag.com/ascent/12240734241,Send,6A+,,Boulder,Boulder,5m,,2,***,9807356238,http://www.thecrag.com/route/9807356238,Spain,http://www.thecrag.com/area/11747395,La Riba,http://www.thecrag.com/area/14157985,La Riba - Clot d'en Goda - 82. La Travesia,Elena Ruiz,This boulder is so cool! With powerful movements in the first half and then a high mantle that I was able to handle with an extra confidence that I didn't have last year.,Classic,2025-09-06T00:00:00Z,2025-09-07T17:33:52Z,
Bravo 40,,12240720981,http://www.thecrag.com/ascent/12240720981,Send,6C,,Boulder,Boulder,5m,,2,**,9914739702,http://www.thecrag.com/route/9914739702,Spain,http://www.thecrag.com/area/11747395,La Riba,http://www.thecrag.com/area/14157985,La Riba - Clot d'en Goda - 26. Totxo del Boig,Elena Ruiz,"I tried it a year ago and tried again, this time with the luck of being able to send (my first 6C!). You just need to be pretty confident in the last movement.",Very Good,2025-09-06T00:00:00Z,2025-09-07T17:32:16Z,
Sofà,,12240711243,http://www.thecrag.com/ascent/12240711243,Send,5+,,Boulder,Boulder,3m,,1,**,12240633057,http://www.thecrag.com/route/12240633057,Spain,http://www.thecrag.com/area/11747395,La Riba,http://www.thecrag.com/area/14157985,La Riba - Clot d'en Goda - 67. El Petit,Elena Ruiz,"Great sit-start boulder. Not easy at all, with the first powerful movement and then so sketchy sloper top hands.",Very Good,2025-09-06T00:00:00Z,2025-09-07T17:30:57Z,
El techo,,12240666561,http://www.thecrag.com/ascent/12240666561,Attempt,6A+,,Boulder,Boulder,4m,,1,*,12240591879,http://www.thecrag.com/route/12240591879,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Petit Paradís - El techo,,"Interesting boulder where being strong is vital to mantle the ""techo"". Not mentally prepared to do it, to be honest.",Good,2025-09-04T00:00:00Z,2025-09-07T17:25:32Z,
Tic i toc Right,,12240661983,http://www.thecrag.com/ascent/12240661983,Attempt,5+,,Boulder,Boulder,4m,,1,,12240592173,http://www.thecrag.com/route/12240592173,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Petit Paradís - El techo,,"Pretty dirty hand holds were you should try the mantle, and a very uncomfortable sit start. Not very recommended.",Average,2025-09-04T00:00:00Z,2025-09-07T17:24:38Z,
Red Bull,,12240651510,http://www.thecrag.com/ascent/12240651510,Attempt,6B,,Boulder,Boulder,4m,,1,,12240607284,http://www.thecrag.com/route/12240607284,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Petit Paradís - Jonny Dawes,,Very sketchy slab boulder with tiny footholds. High handholds were dirtier than I would like.,Average,2025-09-04T00:00:00Z,2025-09-07T17:21:26Z,
El mercenario,,12240647496,http://www.thecrag.com/ascent/12240647496,Flash,6A+,,Boulder,Boulder,4m,,1,*,12240607059,http://www.thecrag.com/route/12240607059,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Petit Paradís - Jonny Dawes,,Boulder of only one movement from the sit start. Not super hard. The rest is just keeping focus because it's a tall boulder.,Good,2025-09-04T00:00:00Z,2025-09-07T17:20:11Z,
La pasion turca,,12240638871,http://www.thecrag.com/ascent/12240638871,Send,5+,,Boulder,Boulder,4m,,1,,12240607383,http://www.thecrag.com/route/12240607383,Spain,http://www.thecrag.com/area/11747395,Can Boquet,http://www.thecrag.com/area/103094670,Can Boquet - Petit Paradís - Jonny Dawes,,"Hard slab with pretty nonexistent holds for being a 5+. Also, Boulder is quite dirty, so it's not recommended.",Average,2025-09-04T00:00:00Z,2025-09-07T17:18:31Z,
Crucifixión,,12182025195,http://www.thecrag.com/ascent/12182025195,Hang dog,7a+,,Sport,Sport,15m,,1,**,337960932,http://www.thecrag.com/route/337960932,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Marc Klingenberg,"This was actually the second attempt because in the first attempt I skipped the last but one bolt by mistake, making the route much easier. In this proper attempt, I could do all the low part but couldn't handle the physical part. Will come back!",Very Good,2025-08-30T00:00:00Z,2025-08-30T15:42:47Z,
Sang rebel,,12181644207,http://www.thecrag.com/ascent/12181644207,Red point,7b,,Sport,Sport,15m,,4,*,337960833,http://www.thecrag.com/route/337960833,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Marc Klingenberg,"Send it! The first 7b! However, after talking with Marc and doing his try, it's not a 7b. Maximum a 7a. So, even though it's the first 7b, I want to do more to confirm the grade",Good,2025-08-30T00:00:00Z,2025-08-30T14:06:22Z,
Cercant el gest,,12181633740,http://www.thecrag.com/ascent/12181633740,Onsight,6b,,Sport,Sport,15m,,1,**,337971129,http://www.thecrag.com/route/337971129,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Central,Marc Klingenberg,"Used this route, which maximum 6a+, to warm-up. It's just a few movements slightly complex in the top because they are long but good hands overall.",Very Good,2025-08-30T00:00:00Z,2025-08-30T14:03:27Z,
Sang rebel,,12094279872,http://www.thecrag.com/ascent/12094279872,Hang dog,7b,,Sport,Sport,15m,,4,*,337960833,http://www.thecrag.com/route/337960833,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Janey L,Tried for the last time of the day and unbelievably I couldn't send it because I grabbed the last hole but I was so pumped that I couldn't clip. So frustrating!,Good,2025-08-17T00:00:00Z,2025-08-17T15:08:01Z,
Sang rebel,,12093971940,http://www.thecrag.com/ascent/12093971940,Hang dog,7b,,Sport,Sport,15m,,4,*,337960833,http://www.thecrag.com/route/337960833,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Janey L,"Better second attempt but get lost in the last movement, as the first time. But, I studied better, and I get the idea, so let's see next time.",Good,2025-08-17T00:00:00Z,2025-08-17T14:21:15Z,
Sang rebel,,12093571281,http://www.thecrag.com/ascent/12093571281,Hang dog,7b,,Sport,Sport,15m,,4,*,337960833,http://www.thecrag.com/route/337960833,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Janey L,"First attempt to this 7a+ (or 7b depending on the guidebook) and felt super good. Could handle the whole thing but felt around the anchor, where the most complex part is.",Good,2025-08-17T00:00:00Z,2025-08-17T12:29:18Z,
Sirof,,12093281172,http://www.thecrag.com/ascent/12093281172,Red point,6b+,,Sport,Sport,15m,,2,*,337960635,http://www.thecrag.com/route/337960635,Spain,http://www.thecrag.com/area/11747395,Collsuspina,http://www.thecrag.com/area/103095006,Collsuspina - Creu de Castellar - Dreta,Janey L,"I could send it in my second attempt. Knowing all the moves help, but it's definitely a tough 6b+.",Very Good,2025-08-17T00:00:00Z,2025-08-17T11:09:54Z,
